Country,Totallife,Malelife,Femalelife,S2016Rural,S2016Urban,S2016Total,W2016Rural,W2016Urban,W2016Total,S2010Rural,S2010Urban,S2010Total,W2010Rural,W2010Urban,W2010Total,S2000Rural,S2000Urban,S2000Total,W2000Rural,W2000Urban,W2000Total
Ethiopia,65.5,63.7,67.3,4,19,7,30,80,40,3,18,6,23,79,33,1,16,3,9,77,19
Fiji,69.9,67.1,73.1,95,95,95,89,98,94,85,93,89,90,98,94,70,90,80,91,99,95
Finland,81.4,78.7,84.2,99,99,99,100,100,100,99,99,99,100,100,100,99,99,99,100,100,100
France,82.9,80.1,85.7,99,99,99,100,100,100,99,99,99,100,100,100,99,99,99,100,100,100
Gabon,66.4,64.8,68.2,37,49,47,55,90,86,36,45,43,49,90,84,31,36,34,37,91,80
Gambia,61.9,60.6,63.3,30,45,39,63,87,78,41,47,44,65,86,77,64,51,58,68,83,75
Georgia,72.6,68.3,76.8,84,95,90,96,100,98,88,95,92,91,99,96,96,94,95,87,98,93
Germany,81,78.7,83.3,99,99,99,100,100,100,99,99,99,100,100,100,99,99,99,100,100,100
Ghana,63.4,62.5,64.4,11,23,18,67,92,80,8,19,14,62,86,74,4,14,9,54,78,64
Greece,81.2,78.7,83.7,98,99,99,100,100,100,97,99,98,100,100,100,94,98,97,99,100,100
Grenada,73.4,71,75.9,0,0,91,0,0,96,0,0,92,0,0,96,0,0,90,0,0,93
Guatemala,73.2,70.4,76,50,79,65,90,98,94,50,80,65,85,97,91,48,82,63,78,95,86
Guinea,59.8,59.4,60.2,16,33,22,49,86,62,11,30,17,52,85,63,3,24,9,53,84,63
Guinea-Bissau,59.8,58.4,61.2,8,37,20,53,84,67,7,32,17,49,81,62,4,25,12,41,74,53
Guyana,66.2,63.6,69,84,92,86,94,100,96,81,89,83,91,97,93,77,84,79,86,93,88
Haiti,63.5,61.3,65.7,23,43,34,43,85,65,18,37,27,42,85,62,11,28,17,40,85,56
Honduras,75.2,72.9,77.5,74,85,80,88,99,94,66,81,74,84,98,91,52,76,63,76,95,85
Hungary,76,72.3,79.4,99,98,98,100,100,100,99,98,98,100,100,100,99,98,98,100,100,100
Iceland,82.4,80.9,83.9,100,99,99,100,100,100,100,99,99,100,100,100,100,99,99,100,100,100
India,68.8,67.4,70.3,50,71,57,90,96,92,32,62,41,84,94,87,4,49,16,74,91,79
Indonesia,69.3,67.3,71.4,62,79,71,81,95,89,47,73,60,76,93,84,25,63,41,66,90,76
Iran (Islamic Republic of),75.7,74.6,76.9,79,92,88,89,97,95,79,92,88,89,98,95,79,92,87,90,98,95
Iraq,69.8,67.5,72.2,86,95,92,89,99,96,73,87,82,75,97,90,56,78,71,53,94,81
Ireland,81.5,79.7,83.4,94,89,91,98,97,97,93,89,91,98,97,97,92,88,90,97,97,97
Israel,82.3,80.3,84.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Italy,82.8,80.5,84.9,99,99,99,99,99,99,99,99,99,100,100,100,0,0,0,100,100,100
Jamaica,76,73.6,78.5,90,86,87,85,96,91,86,84,85,85,96,91,82,82,82,88,98,93
Japan,84.2,81.1,87.1,0,0,100,0,0,99,0,0,100,0,0,99,0,0,100,0,0,98
Jordan,74.3,72.7,76,96,98,97,98,99,99,97,98,98,98,99,99,98,99,98,98,100,99
Kazakhstan,71.1,66.8,75.3,99,97,98,91,98,95,98,97,97,84,97,91,97,97,97,72,94,85
Kenya,66.7,64.4,68.9,27,35,29,49,85,58,30,35,31,45,86,54,33,36,34,37,88,47
Kiribati,66.1,63.6,68.6,0,0,47,0,0,70,0,0,39,0,0,63,0,0,24,0,0,50
Kuwait,74.8,73.9,76,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
Kyrgyzstan,71.4,67.7,75.2,99,92,97,82,97,87,97,93,95,78,97,85,92,94,92,73,95,81
Lao People's Democratic Republic,65.8,64.2,67.4,61,94,72,73,93,80,45,83,56,60,87,68,17,67,28,38,77,47
Latvia,75,70,79.6,83,96,92,98,99,99,79,96,90,97,99,98,73,96,88,96,99,98
