Country,2015,2015capita,2014,2014capita,2013,2013capita,2012,2012capita,2011,2011capita,2010,2010capita,2009,2009capita,2008,2008capita,2007,2007capita,2006,2006capita,2005,2005capita,2004,2004capita,2003,2003capita,2002,2002capia,2001,2001capita,2000,2000capita
Brunei Darussalam,2.6,2083.4,2.2,1732.7,2.1,1735.8,1.9,1545.5,1.9,1536.8,2.3,1798.1,2.4,2040.9,1.9,1635.6,1.9,1712.7,1.9,1656.8,2.2,1828.5,2.5,2047.5,2.6,2057.1,2.5,1944.8,2.5,1889.6,2.5,1836
Bulgaria,8.2,1491.9,8.5,1477.1,7.8,1303.1,7.6,1226.9,7.1,1116.6,7.1,1059.5,6.6,933.7,6.3,898.3,6.2,785.3,6.6,741.3,6.9,706.4,6.9,631.6,7.3,602.9,7.1,549.1,6.9,470.4,5.9,373.2
Burkina Faso,5.4,96.1,5.6,94.2,6.1,99.4,4.9,75.8,5.2,76.6,5.9,82.2,5.7,74.8,5.2,68.2,5.9,73.3,5.1,60.6,4.4,50.1,4.7,49.1,3.5,35.1,3.3,31.1,3.2,29.6,3.3,28.3
Burundi,8.2,63.7,6.8,54.6,8.2,63.8,8.6,64.6,10.4,76.3,11.3,84.6,10.5,79.1,9.4,68.5,10.2,71.7,10.3,70,9.4,60.9,7.2,46.3,6.2,38,6.4,40.4,6.5,39.4,6.8,40.4
Côte d'Ivoire,5.4,189.6,5.2,167.3,5.1,151.2,6,164.7,5.9,151.9,6.1,162,6.2,162.6,6.1,157.2,6.3,156.9,5.8,142.3,5.4,127.8,5.2,120.8,4.6,105.4,4.5,102.8,4.9,113.7,5.7,132.5
Cabo Verde,4.8,310.4,5,313.3,4.4,271.8,4.6,282.5,4.3,258,4.5,255.6,3.9,218.2,3.6,204.6,4.2,222.4,5,227.7,4.8,198.2,4.8,184.1,4.9,168.2,5.2,170.1,5.2,161.9,4.8,147.3
Cambodia,6,209.6,6.2,203.3,6.9,209.2,7.3,207.7,7.5,199.5,6.9,171.3,7.6,177.5,6.6,155.5,4.9,107.7,5.9,117,7.1,123.7,7.8,119.4,7.7,105.8,6.7,84.4,6.6,77.6,6.4,69.8
Cameroon,5.1,162.8,4.9,151.2,4.9,143.5,5,139.3,3.8,100.9,5,129.7,4.8,123.2,5,127.5,4.6,114.2,4.4,107.5,4.5,105.2,4.5,102.2,4.7,103.8,4.6,98.6,4.5,93.2,4.3,85.9
Canada,10.4,4600.1,10,4499,10.1,4453.4,10.2,4290,10.2,4223.8,10.6,4207.7,10.6,4082.3,9.5,3794.2,9.3,3652.7,9.2,3491.7,9.1,3277.9,9.1,3075.1,9,2915.1,8.9,2745.8,8.7,2607.8,8.3,2417.9
Central African Republic,4.8,31.9,4.7,29.8,4.4,27.2,3.6,35.2,3.8,34.8,3.8,33.1,4.4,36.8,4.4,36.4,4.9,39.9,4.2,32.6,4.5,32.6,3.9,27.5,4.2,27.7,3.4,24.1,3.3,22.3,3.5,22.8
Chad,4.6,99.8,4.6,100,4.8,99.9,3.6,71.7,3.9,73,4.1,76.8,4.5,75.6,4.1,68,4.4,71.6,4.9,78.1,4.9,77.6,6.2,85.1,6.2,64.4,8.2,75.5,6,51.9,6.2,48.6
Chile,8.1,1903.1,7.6,1774.1,7.4,1677.7,7,1517.9,6.8,1384,6.8,1243.7,7.2,1172.8,6.7,1107,6.2,1041.3,6,942.2,6.6,841.7,6.9,812.8,7.3,789.9,7.3,748.3,7.2,715.2,7,676
China,5.3,762.2,5,658,4.9,592.5,4.8,535,4.6,468.4,4.5,407,4.6,380.5,4.3,320.6,4,271.9,4.2,243.4,4.3,217.8,4.4,194.8,4.6,179.4,4.5,159.9,4.4,138.9,4.5,130
Colombia,6.2,852.8,6.4,856,6,765.4,6.1,735.9,5.9,683.1,6.1,656.2,6.4,655.9,6,611,5.7,557.2,5.7,513.6,5.5,451.3,5.1,394.8,5.6,404.1,5.3,368.3,5.6,375.2,5.5,360.5
Comoros,8,121,8,121.4,8.3,123.3,8.3,120.1,9.5,134,8.7,121.1,8.7,119.9,9.1,124.4,9.4,129.1,9.7,130.9,10.1,131.8,10.2,129,10.6,130.7,11.2,135.6,10.9,131.2,12.1,142.3
Congo,3.4,202.7,2.4,142.2,2.4,132.2,2,107.5,1.9,99,2,102.9,2.2,102.9,2.2,99.6,2,86.8,1.8,79.8,1.9,79.2,2.1,82.4,2.1,80.2,1.9,71.1,2.4,87.1,1.7,60.2
Costa Rica,8.1,1286.5,8.2,1237.5,8.3,1204.6,8.1,1149.5,8.4,1131,8.1,1031.2,7.9,957.5,7.5,925.3,7,823.2,7,745.4,6.7,656.8,6.6,617.2,7,614.1,6.9,577.2,6.4,522.5,6.5,512.2
Croatia,7.4,1656.4,7.5,1643.2,7.3,1580.2,7.8,1644.5,7.8,1612.7,8.1,1601.7,8.2,1635,7.7,1604.3,7.5,1442.8,7,1216.5,6.9,1056.8,6.6,955.3,6.4,860.9,6.2,784.1,7.2,838.4,7.7,810.6
Cuba,10.9,2478.8,10.3,2196.6,8.3,1710.6,8.3,1639,11.8,2236.2,11.8,2118.9,9.3,1625.1,10,1697.2,9.3,1494,8.3,1208.2,10.1,1274.3,6.8,754.6,7.1,723,7.1,685.6,7,656.4,6.4,574.3
Cyprus,6.8,2136.8,6.8,2059.9,6.9,2106.2,6.7,2138.7,6.6,2216.9,6.3,2116.6,6.5,2223.7,6,2124,5.2,1725.3,5.3,1607.4,5.3,1478.5,5.3,1380.4,5.5,1349.7,5.6,1330.6,5.3,1231.7,5.3,1135.8
Czechia,7.3,2469.9,7.7,2481.6,7.8,2381.7,7,2042.6,7,2011,6.9,1922.8,7.3,2018.4,6.4,1777.9,6,1577.9,6.2,1476.1,6.4,1402.7,6.4,1329.3,6.6,1273.4,6.2,1127.1,5.9,1034.4,5.7,922.9
Democratic People's Republic of Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,4.3,34,4.4,33.2,3.9,27.5,3.6,23.8,3.5,22.2,4,24.1,5.2,29.6,3.9,22,3.3,17.9,3.1,16.1,3,14.7,3.2,14.7,3.1,13.3,2.6,10.6,2.6,10.8,1.4,6
Denmark,10.3,5083.2,10.3,4924.2,10.2,4786.7,10.3,4610.2,10.2,4535.8,10.4,4480.5,10.7,4319.5,9.5,3938.9,9.3,3642,9.2,3427.7,9.1,3109.1,9,2970.1,8.9,2744.5,8.7,2670.2,8.4,2498.2,8.1,2325.3
Djibouti,4.4,146.7,4.1,130.6,4.1,122,4.6,131.5,4.7,128.2,4.3,108,4.5,109.4,4.5,106.2,4.8,108.8,4.9,104.6,4.5,91.1,4.7,89.6,5.6,103,5,89.7,3.9,68.6,4.1,70.3
