Country,2015percent,2015capita,2014percent,2014capita
Afghanistan,10.30,183.90,9.70,176.90
Albania,6.80,773.70,7.00,779.30
Algeria,7.10,1031.20,6.50,929.10
Angola,2.90,195.50,2.80,184.60
Antigua and Barbuda,4.80,1105.10,5.70,1205.40
Argentina,6.80,1389.80,6.40,1268.30
Armenia,10.10,883.20,7.00,591.30
Australia,9.40,4491.60,9.10,4287.20
Austria,10.30,5138.20,10.30,5025.40
Azerbaijan,6.70,1191.30,5.70,998.80
Bahamas,7.40,1699.10,7.30,1704.10
Bahrain,5.20,2453.20,4.60,2164.60
Bangladesh,2.60,88.00,2.70,83.20
Barbados,7.50,1233.60,7.70,1239.20
Belarus,6.10,1084.60,5.40,995.20
Belgium,10.50,4782.40,10.40,4660.70
Belize,6.20,523.70,5.80,487.90
Benin,4.00,84.50,3.60,76.80
Bhutan,3.50,287.10,3.20,245.70
Bolivia (Plurinational State of),6.40,445.80,5.80,384.90
Bosnia and Herzegovina,9.40,1101.80,9.60,1072.00
Botswana,6.00,970.00,5.30,890.40
Brazil,8.90,1391.50,8.40,1365.30
Brunei Darussalam,2.60,2083.40,2.20,1732.70
Bulgaria,8.20,1491.90,8.50,1477.10
Burkina Faso,5.40,96.10,5.60,94.20
Burundi,8.20,63.70,6.80,54.60
C̫te d'Ivoire,5.40,189.60,5.20,167.30
Cabo Verde,4.80,310.40,5.00,313.30
Cambodia,6.00,209.60,6.20,203.30
Cameroon,5.10,162.80,4.90,151.20
Canada,10.40,4600.10,10.00,4499.00
Central African Republic,4.80,31.90,4.70,29.80
Chad,4.60,99.80,4.60,100.00
Chile,8.10,1903.10,7.60,1774.10
China,5.30,762.20,5.00,658.00
Colombia,6.20,852.80,6.40,856.00
Comoros,8.00,121.00,8.00,121.40
Congo,3.40,202.70,2.40,142.20
Costa Rica,8.10,1286.50,8.20,1237.50
Croatia,7.40,1656.40,7.50,1643.20
Cuba,10.90,2478.80,10.30,2196.60
Cyprus,6.80,2136.80,6.80,2059.90
Czechia,7.30,2469.90,7.70,2481.60
Democratic People's Republic of Korea,0.00,0.00,0.00,0.00
Democratic Republic of the Congo,4.30,34.00,4.40,33.20
Denmark,10.30,5083.20,10.30,4924.20
Djibouti,4.40,146.70,4.10,130.60
Dominican Republic,6.20,873.10,6.10,799.90
Ecuador,8.50,980.20,8.60,994.40
Egypt,4.20,495.20,4.10,491.00
El Salvador,6.90,578.50,6.80,551.80
Equatorial Guinea,2.70,789.60,1.80,583.30
Eritrea,3.30,56.20,3.40,56.60
