Country,2017 Rural,2017 Urban,2017 Total,2016 Rural,2016 Urban,2016 Total,2015 Rural,2015 Urban,2015 Total,2014 Rural,2014 Urban,2014 Total,2013 Rural,2013 Urban,2013 Total,2012 Rural,2012 Urban,2012 Total,2011 Rural,2011 Urban,2011 Total,2010 Rural,2010 Urban,2010 Total,2009 Rural,2009 Urban,2009 Total,2008 Rural,2008 Urban,2008 Total,2007 Rural,2007 Urban,2007 Total,2006 Rural,2006 Urban,2006 Total,2005 Rural,2005 Urban,2005 Total,2004 Rural,2004 Urban,2004 Total,2003 Rural,2003 Urban,2003 Total,2002 Rural,2002 Urban,2002 Total,2001 Rural,2001 Urban,2001 Total,2000 Rural,2000 Urban,2000 Total
Mauritania,19,75,48,18,72,46,17,68,43,17,65,41,16,62,39,15,60,37,14,57,35,14,54,32,13,51,30,12,49,29,12,46,27,11,44,25,10,41,23,10,40,22,9,38,21,8,37,20,8,36,18,7,34,17
Mauritius,95,96,96,95,96,96,95,96,96,95,96,96,95,96,96,95,96,95,94,95,95,94,95,94,93,95,94,93,95,93,92,94,93,92,94,93,91,94,92,91,93,92,90,93,91,89,93,91,89,93,90,88,92,90
Mexico,82,93,91,81,93,90,79,92,89,77,91,89,76,91,88,74,90,87,72,90,86,71,89,85,69,88,84,67,88,83,65,87,82,64,86,81,62,86,80,60,85,79,58,85,78,56,84,77,54,83,76,53,83,75
Micronesia (Federated States of),,,88,,,88,,,88,,,84,,,80,,,76,,,71,,,67,,,63,,,59,,,54,,,50,,,46,,,42,,,37,,,33,,,29,,,25
Monaco,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100
Mongolia,42,66,58,42,66,58,40,66,58,39,66,58,38,66,57,37,66,57,36,66,56,35,65,56,34,65,55,33,65,54,32,65,53,31,65,52,30,65,52,29,64,51,28,64,50,28,64,49,27,64,49,26,64,48
Montenegro,94,100,98,94,100,98,94,100,98,93,99,97,93,98,96,92,97,95,91,96,95,90,96,94,90,95,93,89,94,92,88,93,91,87,92,90,,,,,,,,,,,,,,,,,,
Morocco,79,94,89,79,94,88,77,94,88,75,94,87,74,94,86,71,93,84,69,92,83,67,91,81,65,90,80,63,89,78,61,89,76,59,88,75,57,87,73,55,86,72,52,85,70,50,84,68,48,83,67,46,83,66
Mozambique,17,52,29,16,51,28,15,50,27,14,49,26,13,47,24,12,46,23,11,45,22,10,44,21,9,43,20,8,41,19,8,40,17,7,39,16,6,38,15,5,36,14,4,35,13,3,34,12,3,33,11,2,32,10
Myanmar,59,76,64,60,76,65,60,77,65,61,77,65,61,78,66,61,78,66,62,78,67,62,79,67,63,79,67,63,79,68,64,80,68,64,80,69,64,81,69,65,81,69,65,81,70,66,82,70,66,82,70,67,82,71
Namibia,18,51,35,18,52,34,18,52,34,17,53,34,17,53,33,17,54,33,16,54,33,16,55,32,16,55,32,16,55,31,15,56,31,15,56,31,15,57,30,14,57,30,14,58,29,14,58,29,14,59,28,13,59,28
Nauru,,66,66,,66,66,,66,66,,66,66,,66,66,,66,66,,66,66,,66,66,,66,66,,66,66,,66,66,,66,66,,66,66,,66,66,,66,66,,66,66,,66,66,,66,66
Nepal,61,67,62,57,65,59,54,63,56,51,60,53,48,58,50,45,56,47,42,54,44,39,52,41,36,50,38,33,48,35,30,46,33,27,44,30,25,42,27,22,40,25,20,38,22,17,36,20,15,34,17,12,33,15
Netherlands,100,98,98,100,98,98,100,98,98,100,98,98,100,98,98,100,98,98,100,98,98,100,98,98,100,98,98,100,98,98,100,98,98,100,98,98,100,98,98,100,98,98,100,98,98,100,98,98,100,98,98,100,98,98
New Zealand,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Nicaragua,62,84,74,62,84,74,60,83,73,59,82,72,58,81,71,57,80,70,56,80,69,55,79,68,54,78,67,52,77,66,51,76,65,50,75,64,49,75,63,48,74,62,47,73,61,46,72,60,45,71,59,43,71,58
Niger,8,44,14,7,43,13,7,42,13,7,41,12,7,40,12,6,39,11,6,38,11,6,37,11,5,36,10,5,34,10,4,33,9,4,32,9,4,31,8,3,30,8,3,29,7,2,28,6,2,26,6,1,25,5
Nigeria,31,48,39,31,47,38,31,45,38,30,44,37,30,43,36,30,42,36,30,41,35,30,40,34,30,39,34,30,38,33,30,37,33,30,35,32,30,34,31,29,33,31,29,32,30,29,31,30,29,30,29,29,30,30
Niue,,,97,,,97,,,97,,,97,,,97,,,97,,,98,,,98,,,99,,,99,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100
Norway,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Oman,100,100,100,100,100,100,100,100,100,99,100,100,98,100,100,96,100,99,94,99,98,93,99,97,91,98,96,89,97,95,87,97,94,86,96,93,84,96,92,82,95,91,80,95,90,78,94,90,77,93,89,77,93,89
Pakistan,50,77,60,48,76,58,46,76,57,44,75,55,42,74,54,41,73,52,39,73,51,37,72,49,35,71,47,33,70,46,31,69,44,29,69,42,27,68,41,24,67,39,22,67,37,19,67,35,17,66,33,14,66,31
Palau,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99
Panama,65,92,83,64,91,82,62,91,81,61,89,80,60,88,78,59,87,77,58,85,76,56,84,74,55,82,73,54,81,72,53,80,70,52,79,69,50,77,67,49,76,66,48,75,65,47,73,63,45,72,62,44,71,61
Papua New Guinea,8,48,13,8,49,14,9,49,14,9,50,15,10,51,15,11,52,16,11,53,17,12,54,17,12,54,18,13,55,18,13,56,19,14,57,20,15,58,20,15,58,21,15,58,21,15,58,21,15,58,21,15,58,21
Paraguay,83,94,90,81,94,89,79,93,88,77,93,87,76,92,86,74,92,84,72,91,83,70,90,82,68,90,81,67,89,80,65,89,79,63,88,78,61,88,77,59,87,75,58,87,74,56,86,73,54,86,72,52,85,70
Peru,56,80,74,55,79,74,53,79,73,51,79,73,50,79,72,48,79,72,47,79,71,45,79,71,43,79,70,42,78,70,40,78,69,39,78,68,37,78,68,35,78,67,34,78,66,32,78,66,31,77,65,29,77,64
Philippines,75,78,77,73,78,75,71,78,74,70,77,73,68,77,72,67,76,71,65,76,70,63,75,69,62,75,68,60,74,67,59,74,66,57,73,65,57,73,64,56,73,64,55,73,63,55,73,63,54,72,63,53,72,62
Poland,99,99,99,99,98,98,97,98,98,96,98,97,95,97,96,93,97,96,92,97,95,91,97,94,89,96,94,88,96,93,87,96,92,85,96,92,84,95,91,83,95,90,81,95,90,80,95,89,79,94,88,77,94,88
Portugal,100,100,100,100,99,100,100,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,98,99,99,98,99,99,98,99,98,97,99,98,97,99,98,97,99,98,97,99,98,96,99,98,96,99,97,96,98,97
Qatar,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100
Republic of Korea,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100
Republic of Moldova,69,86,76,68,86,76,68,86,75,67,86,75,67,86,75,67,86,75,66,87,75,66,87,75,66,88,75,66,88,75,66,88,75,65,89,75,65,89,75,65,89,75,65,90,76,64,89,75,63,89,75,62,89,74
Romania,71,95,84,70,95,84,69,95,83,67,95,82,66,95,81,64,94,81,63,94,80,62,94,79,60,94,78,59,94,77,57,94,77,56,93,76,55,93,75,55,93,75,55,93,75,55,93,75,55,93,75,,,
Russian Federation,78,95,90,77,95,90,75,95,90,74,95,89,73,95,89,71,94,88,70,94,88,69,94,88,67,94,87,66,94,87,65,94,86,63,94,86,62,94,85,60,94,85,59,94,85,58,94,84,56,94,84,55,94,83
Rwanda,70,52,67,68,53,65,66,53,64,65,54,63,63,55,62,62,55,61,60,56,59,59,57,58,57,58,57,55,58,56,54,59,55,52,60,53,50,60,52,49,61,51,47,61,50,46,62,48,44,63,47,42,63,45
Saint Kitts and Nevis,,,,,,,,,,,,,,,92,,,92,,,92,,,92,,,92,,,91,,,90,,,90,,,89,,,88,,,87,,,87,,,86,,,85
Saint Lucia,91,78,88,91,78,88,91,78,88,91,78,88,91,78,89,90,79,88,89,80,87,88,80,87,87,81,86,86,81,85,85,81,84,84,82,84,83,82,83,82,82,82,81,83,81,81,83,81,81,83,82,81,83,82
Saint Vincent and the Grenadines,,,87,,,87,,,87,,,87,,,86,,,85,,,84,,,83,,,81,,,80,,,79,,,78,,,77,,,76,,,74,,,73,,,72,,,71
Samoa,98,98,98,98,99,98,98,99,98,98,99,98,98,99,98,98,99,98,98,99,98,98,99,98,98,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98
San Marino,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100
Sao Tome and Principe,31,48,43,31,48,43,30,46,41,28,45,40,27,44,38,26,42,37,25,41,35,24,40,34,22,38,33,21,37,31,20,36,30,19,34,28,18,33,27,17,32,25,16,30,24,15,29,23,15,28,22,14,26,20
Saudi Arabia,,,100,,,100,,,100,,,100,,,100,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,98,,,98,,,98
Senegal,40,65,51,39,65,51,38,65,50,36,65,49,35,65,49,34,65,48,33,65,47,32,65,46,31,65,46,30,64,45,29,64,44,28,64,43,27,64,43,26,64,42,25,64,41,24,64,40,23,64,40,23,63,39
Serbia,95,100,98,95,99,98,95,99,98,95,99,97,95,99,97,95,99,97,95,98,97,95,98,97,95,98,96,94,97,96,94,97,96,94,97,96,94,97,95,94,96,95,94,96,95,94,96,95,94,96,95,94,96,95
Seychelles,,,100,,,100,,,100,,,100,,,100,,,99,,,99,,,98,,,98,,,98,,,97,,,97,,,96,,,96,,,95,,,95,,,95,,,94
Sierra Leone,9,26,16,8,25,15,8,25,15,8,25,15,8,24,14,7,24,14,7,24,14,7,23,13,7,23,13,6,23,13,6,22,12,6,22,12,6,22,12,5,21,11,5,21,11,5,21,11,5,21,10,5,20,10
Singapore,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100
Slovakia,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98
Slovenia,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Solomon Islands,20,78,34,19,78,33,19,77,32,18,75,31,18,74,30,17,73,29,17,71,28,16,70,27,16,68,26,15,67,25,14,66,24,14,64,23,13,63,22,13,62,21,13,62,21,13,62,21,13,62,21,13,62,20
Somalia,20,61,38,19,60,37,18,59,36,17,58,34,16,57,33,15,55,32,14,54,31,13,53,29,13,52,27,12,51,26,11,50,24,10,49,25,9,48,23,9,47,22,8,46,22,8,46,21,8,45,20,7,45,20
South Africa,75,76,76,73,76,75,71,76,74,69,75,73,67,75,72,65,75,71,63,74,70,61,74,69,59,74,68,57,74,67,55,73,66,53,73,65,51,73,64,50,72,63,48,72,62,46,72,61,44,71,60,42,71,59
South Sudan,5,37,11,5,34,10,5,30,10,5,27,9,4,24,8,4,21,7,4,19,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Sri Lanka,96,95,96,95,94,95,95,93,94,94,92,94,94,91,93,93,89,92,92,88,92,92,87,91,91,86,90,91,85,90,90,85,89,89,85,88,88,85,88,88,85,87,87,85,87,86,85,86,85,85,85,85,85,85
Sudan,24,60,37,24,60,36,23,58,35,22,57,34,21,55,32,20,53,31,19,52,30,17,50,28,16,48,27,15,47,26,14,45,24,13,43,23,12,42,22,11,40,21,11,40,21,11,40,21,11,40,21,11,40,21
Suriname,75,89,84,74,89,84,73,89,84,72,89,84,71,89,83,70,89,83,69,89,83,68,89,82,67,89,82,67,89,82,66,89,81,65,89,81,64,89,81,63,89,81,62,89,80,61,89,80,60,89,80,59,89,79
Sweden,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99
Switzerland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Syrian Arab Republic,91,91,91,91,92,91,91,92,92,91,93,92,91,93,92,90,94,92,90,94,92,90,94,93,90,95,93,90,95,93,90,95,93,90,96,93,90,96,93,90,97,93,89,97,93,89,97,93,89,96,93,88,96,93
Tajikistan,98,95,97,97,95,97,97,95,96,96,95,96,96,94,95,95,94,95,94,94,94,94,94,94,93,94,93,93,94,93,92,94,93,92,93,92,91,93,92,90,93,91,90,93,91,89,93,90,89,93,90,89,93,90
Thailand,98,99,99,98,99,98,98,98,98,98,97,98,97,97,97,97,96,97,97,96,96,96,95,96,96,95,95,96,94,95,95,93,95,95,93,94,95,92,94,95,92,93,94,91,93,94,90,93,94,90,92,93,89,92
Republic of North Macedonia,98,100,99,97,100,99,96,100,98,95,100,98,94,99,97,92,99,96,90,98,95,88,97,93,86,96,92,84,95,90,83,94,89,81,93,88,79,92,86,77,91,85,77,91,85,77,91,85,77,91,85,77,91,85
Timor-Leste,44,76,54,43,75,52,42,74,51,41,74,50,40,73,49,39,72,48,38,71,47,37,70,46,35,69,45,34,68,44,33,67,43,32,67,41,32,66,40,31,64,39,30,63,38,29,62,37,,,,,,
Togo,7,29,16,7,28,16,7,28,15,6,28,15,6,28,14,6,28,14,5,27,14,5,27,13,5,27,13,4,27,13,4,26,12,4,26,12,4,26,11,3,26,11,3,25,11,3,25,11,3,25,10,3,24,10
Tonga,92,97,93,92,97,93,92,97,93,92,97,93,92,97,93,91,97,93,90,97,92,90,98,92,89,98,91,88,98,91,88,98,90,87,98,90,86,99,89,86,99,89,86,99,89,86,99,89,86,99,89,86,99,89
Trinidad and Tobago,,,93,,,93,,,93,,,93,,,93,,,93,,,93,,,93,,,92,,,92,,,92,,,92,,,91,,,91,,,91,,,91,,,90,,,90
Tunisia,81,95,91,81,95,91,80,95,90,78,95,90,76,95,89,73,95,88,71,95,87,69,95,86,67,95,85,64,94,84,62,94,83,60,94,82,58,94,82,56,94,81,54,94,80,52,94,79,50,94,78,48,94,77
Turkey,90,100,97,90,100,97,90,100,97,88,100,97,87,99,96,85,98,94,84,97,93,82,96,92,81,96,91,79,95,90,78,94,89,77,93,88,75,92,87,74,91,86,72,91,84,71,90,83,69,89,82,69,89,82
Turkmenistan,99,98,99,99,97,98,99,97,98,99,96,97,98,95,97,98,95,97,98,94,96,98,93,96,98,93,95,97,92,95,97,91,94,97,91,94,97,90,94,96,90,93,96,89,93,96,89,93,96,89,93,96,89,93
Tuvalu,86,83,84,86,83,84,86,83,84,86,83,84,86,83,84,85,83,84,84,83,84,82,84,83,81,84,83,79,84,82,78,84,81,77,85,81,75,85,80,75,85,80,75,85,80,75,85,80,75,85,80,,,
Uganda,16,26,18,16,26,18,16,27,18,16,27,18,16,27,18,16,27,18,16,28,18,16,28,18,16,28,18,16,28,18,16,29,18,16,29,18,16,29,18,15,30,18,15,30,18,15,30,18,15,30,17,15,31,17
Ukraine,94,97,96,94,97,96,94,97,96,94,97,96,93,97,96,93,97,96,92,97,96,92,97,96,92,97,96,91,97,95,91,97,95,91,97,95,90,97,95,90,97,95,90,97,95,89,97,95,89,97,94,89,97,94
United Arab Emirates,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99
United Kingdom of Great Britain and Northern Ireland,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
United Republic of Tanzania,24,43,30,22,41,28,21,39,27,20,37,25,19,35,24,18,33,22,16,32,21,15,30,19,14,28,18,13,26,16,12,24,15,10,22,13,9,20,12,8,18,10,6,16,9,5,14,7,4,13,6,3,11,4
United States of America,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Uruguay,97,97,97,96,96,96,95,96,96,94,96,96,93,96,96,92,96,96,91,96,95,90,95,95,89,95,95,88,95,95,87,95,95,86,95,94,86,95,94,85,95,94,85,95,94,85,95,94,85,95,94,85,95,94
Uzbekistan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,99,100,99,98,99,99,97,99,98,96,99,97,95,99,97,94,99,96,93,99,96,92,98,95,91,98,95,90,98,94,89,98,93,88,98,93
Vanuatu,29,48,34,32,50,36,34,51,38,36,53,40,38,54,42,41,56,44,43,57,47,45,59,49,48,60,51,50,61,53,53,63,55,55,64,57,58,66,60,60,67,62,60,67,62,60,67,62,60,67,62,60,67,62
Venezuela (Bolivarian Republic of),,,94,,,94,,,94,,,94,,,94,,,94,,,94,,,94,,,94,,,94,,,93,,,93,,,93,,,,,,,,,,,,,,,
Viet Nam,78,94,84,76,94,82,74,93,80,72,92,78,70,91,76,68,90,75,66,89,73,63,88,71,61,87,69,59,87,67,57,86,65,55,85,64,53,84,62,51,83,60,49,82,58,47,82,56,45,81,54,43,81,52
Yemen,43,88,59,43,88,59,43,88,58,42,88,57,40,88,56,39,88,55,38,88,54,37,87,53,36,87,52,34,87,51,33,87,49,32,87,48,31,87,47,29,87,46,28,86,44,27,86,43,27,86,42,27,86,42
Zambia,19,36,26,19,36,26,18,37,26,18,37,26,17,38,26,17,39,26,16,39,25,16,40,25,15,40,25,15,41,25,15,42,25,14,42,25,14,43,25,13,44,24,13,44,24,13,45,24,12,45,24,12,46,24
Zimbabwe,31,46,36,32,48,37,32,49,38,32,50,38,33,52,39,33,53,40,33,54,40,34,56,41,34,57,42,34,58,42,35,60,43,35,61,44,35,62,45,36,64,45,36,65,46,36,65,46,36,65,46,36,65,46
