,"2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
"Country","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$"
"Australia","9.4","4934.0","4491.6","9.1","5637.6","4287.2","8.8","5838.4","4179.7","8.7","6047.0","3792.1","8.6","5876.9","3770.4","8.5","4952.8","3593.1","8.6","3997.5","3556.5","8.3","4088.8","3295.6","8.1","3794.2","3178.2","8.0","3177.5","3005.2","8.0","3004.1","2833.3","8.1","2757.6","2743.6","7.9","2241.0","2549.2","7.9","1763.8","2429.0","7.7","1558.2","2272.1","7.6","1632.4","2152.6"
"Austria","10.3","4536.1","5138.2","10.3","5300.6","5025.4","10.2","5161.2","4881.0","10.1","4909.0","4696.0","9.9","5076.3","4392.2","10.1","4724.7","4243.9","10.1","4837.7","4132.4","9.6","4959.2","3962.4","9.5","4422.0","3716.3","9.5","3840.1","3557.7","9.6","3676.1","3351.8","9.6","3552.9","3257.8","9.6","3084.3","3073.3","9.4","2486.1","2935.8","9.3","2280.5","2768.0","9.2","2263.5","2705.1"
"Azerbaijan","6.7","368.3","1191.3","5.7","447.3","998.8","5.4","423.4","930.7","5.1","383.8","839.8","4.8","345.4","756.9","4.9","287.4","768.7","5.4","267.6","805.6","4.0","221.6","548.6","4.7","178.7","578.8","5.8","139.8","555.7","7.4","114.8","521.4","7.3","75.5","400.8","6.0","52.1","291.8","3.7","28.0","161.4","3.7","25.7","144.1","3.8","24.9","134.3"
"Bahamas","7.4","1685.5","1699.1","7.3","1635.4","1704.1","7.4","1664.7","1732.3","7.6","1722.9","1790.1","7.6","1645.0","1733.0","7.4","1632.3","1670.4","7.5","1645.7","1657.2","7.3","1720.8","1701.9","7.0","1694.3","1667.9","6.8","1610.9","1590.3","5.9","1372.8","1325.8","5.9","1292.9","1270.8","5.5","1213.0","1174.3","5.2","1177.4","1130.4","5.1","1091.9","1073.4","5.1","1084.3","1045.8"
"Bahrain","5.2","1190.0","2453.2","4.6","1171.0","2164.6","4.3","1065.4","1902.2","4.2","972.2","1714.6","3.1","694.4","1239.2","3.3","681.0","1306.4","3.5","668.0","1359.9","2.9","657.9","1156.4","2.9","604.3","1160.5","2.9","556.4","1128.4","3.0","532.5","1140.8","3.2","501.8","1184.3","3.6","507.0","1292.5","3.7","488.4","1324.1","3.7","472.6","1306.7","3.4","466.7","1219.5"
"Bangladesh","2.6","31.8","88.0","2.7","28.8","83.2","2.7","25.9","77.9","2.7","22.7","75.8","2.8","22.2","71.0","2.7","20.2","64.2","2.6","17.4","58.0","2.5","15.3","53.8","2.6","13.9","51.8","2.5","12.0","46.3","2.8","11.3","41.8","2.7","10.7","37.4","2.7","10.0","34.5","2.6","9.1","32.4","2.4","8.1","28.6","2.4","8.3","27.6"
"Barbados","7.5","1160.2","1233.6","7.7","1179.6","1239.2","8.2","1261.5","1293.9","8.3","1280.3","1304.9","7.4","1149.9","1140.4","6.9","1102.7","1042.3","7.0","1153.9","1038.8","6.8","1123.1","1047.0","6.2","1028.7","946.9","6.2","974.2","906.8","6.3","897.0","846.4","6.6","855.4","834.2","6.6","791.2","794.6","5.8","672.0","669.1","5.4","624.1","617.6","5.2","604.8","598.4"
"Belarus","6.1","351.8","1084.6","5.4","437.0","995.2","5.8","444.2","1017.0","5.3","357.4","915.4","4.7","294.0","774.0","5.3","306.2","809.7","5.5","284.6","774.4","5.5","349.7","763.4","5.9","279.4","728.3","5.8","222.5","637.1","6.3","197.1","609.1","5.9","141.8","506.8","6.0","109.2","442.4","5.8","86.6","392.2","5.9","73.8","370.6","5.5","57.4","318.7"
"Belgium","10.5","4228.3","4782.4","10.4","4931.4","4660.7","10.4","4821.6","4508.8","10.2","4556.6","4313.8","10.1","4808.8","4158.2","9.9","4401.5","3980.0","10.1","4519.8","3831.7","9.3","4522.6","3561.5","8.9","3973.8","3298.6","8.9","3465.8","3158.5","9.0","3335.5","3007.6","9.1","3241.8","2938.5","9.1","2794.4","2822.9","8.3","2070.3","2518.9","8.1","1874.0","2352.5","7.9","1843.2","2221.1"
"Belize","6.2","301.2","523.7","5.8","280.8","487.9","5.8","272.1","471.5","5.4","254.4","442.2","5.6","254.0","441.7","5.8","252.5","448.8","5.8","245.6","436.0","5.0","225.6","385.4","4.9","212.6","366.3","4.5","186.4","327.9","4.4","174.6","311.3","4.3","166.1","294.7","4.5","165.1","290.9","4.3","154.6","259.5","4.5","153.7","258.5","3.9","132.6","217.6"
