,"2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
"Country","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$"
"Comoros","8.0","58.5","121.0","8.0","68.6","121.4","8.3","69.2","123.3","8.3","65.4","120.1","9.5","78.6","134.0","8.7","67.3","121.1","8.7","68.1","119.9","9.1","72.4","124.4","9.4","68.1","129.1","9.7","62.7","130.9","10.1","62.6","131.8","10.2","62.9","129.0","10.6","57.6","130.7","11.2","48.3","135.6","10.9","43.3","131.2","12.1","45.6","142.3"
"Congo","3.4","58.8","202.7","2.4","71.0","142.2","2.4","71.2","132.2","2.0","59.1","107.5","1.9","60.7","99.0","2.0","55.4","102.9","2.2","48.8","102.9","2.2","63.1","99.6","2.0","42.0","86.8","1.8","35.9","79.8","1.9","30.7","79.2","2.1","27.1","82.4","2.1","21.1","80.2","1.9","16.6","71.1","2.4","20.0","87.1","1.7","16.9","60.2"
"Cook Islands","2.7","461.3","518.2","3.3","597.5","561.2","3.3","552.1","538.5","3.1","528.0","547.6","3.4","532.6","557.2","3.5","478.2","530.9","3.5","399.8","537.9","3.3","401.5","496.8","3.7","429.2","545.8","3.7","351.9","507.1","4.2","386.4","522.6","3.6","331.0","466.7","3.4","270.9","424.0","3.6","212.0","420.5","3.4","177.6","398.5","3.2","162.7","365.5"
"Costa Rica","8.1","929.1","1286.5","8.2","868.3","1237.5","8.3","876.6","1204.6","8.1","812.1","1149.5","8.4","775.6","1131.0","8.1","663.9","1031.2","7.9","537.0","957.5","7.5","518.6","925.3","7.0","430.1","823.2","7.0","365.5","745.4","6.7","314.3","656.8","6.6","294.0","617.2","7.0","291.1","614.1","6.9","279.2","577.2","6.4","255.6","522.5","6.5","249.1","512.2"
"Côte d'Ivoire","5.4","75.5","189.6","5.2","79.1","167.3","5.1","72.2","151.2","6.0","75.3","164.7","5.9","73.4","151.9","6.1","75.0","162.0","6.2","75.8","162.6","6.1","76.1","157.2","6.3","66.7","156.9","5.8","55.3","142.3","5.4","49.9","127.8","5.2","48.0","120.8","4.6","40.2","105.4","4.5","31.8","102.8","4.9","31.9","113.7","5.7","36.4","132.5"
"Croatia","7.4","852.1","1656.4","7.5","1005.6","1643.2","7.3","988.8","1580.2","7.8","1029.4","1644.5","7.8","1131.1","1612.7","8.1","1125.4","1601.7","8.2","1187.4","1635.0","7.7","1259.0","1604.3","7.5","1041.6","1442.8","7.0","815.9","1216.5","6.9","726.5","1056.8","6.6","634.5","955.3","6.4","512.2","860.9","6.2","386.5","784.1","7.2","387.6","838.4","7.7","370.5","810.6"
"Cuba","10.9","826.3","2478.8","10.3","724.9","2196.6","8.3","563.5","1710.6","8.3","533.4","1639.0","11.8","725.4","2236.2","11.8","667.4","2118.9","9.3","511.9","1625.1","10.0","535.3","1697.2","9.3","482.1","1494.0","8.3","386.4","1208.2","10.1","380.6","1274.3","6.8","231.8","754.6","7.1","226.8","723.0","7.1","213.0","685.6","7.0","198.1","656.4","6.4","176.5","574.3"
"Cyprus","6.8","1563.3","2136.8","6.8","1847.6","2059.9","6.9","1920.3","2106.2","6.7","1942.2","2138.7","6.6","2153.4","2216.9","6.3","1958.8","2116.6","6.5","2105.0","2223.7","6.0","2156.7","2124.0","5.2","1641.7","1725.3","5.3","1432.2","1607.4","5.3","1328.4","1478.5","5.3","1258.2","1380.4","5.5","1123.6","1349.7","5.6","890.5","1330.6","5.3","782.6","1231.7","5.3","751.1","1135.8"
"Czechia","7.3","1284.0","2469.9","7.7","1512.9","2481.6","7.8","1554.5","2381.7","7.0","1387.4","2042.6","7.0","1516.6","2011.0","6.9","1373.9","1922.8","7.3","1442.2","2018.4","6.4","1449.3","1777.9","6.0","1110.2","1577.9","6.2","942.1","1476.1","6.4","852.7","1402.7","6.4","746.3","1329.3","6.6","640.7","1273.4","6.2","497.7","1127.1","5.9","388.5","1034.4","5.7","342.9","922.9"
"Democratic People's Republic of Korea","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Democratic Republic of the Congo","4.3","19.8","34.0","4.4","19.4","33.2","3.9","16.3","27.5","3.6","14.3","23.8","3.5","12.6","22.2","4.0","12.9","24.1","5.2","15.2","29.6","3.9","12.3","22.0","3.3","9.3","17.9","3.1","8.0","16.1","3.0","6.6","14.7","3.2","6.2","14.7","3.1","5.4","13.3","2.6","4.5","10.6","2.6","5.9","10.8","1.4","18.4","6.0"
"Denmark","10.3","5497.4","5083.2","10.3","6424.4","4924.2","10.2","6262.8","4786.7","10.3","6020.2","4610.2","10.2","6308.1","4535.8","10.4","6036.2","4480.5","10.7","6221.7","4319.5","9.5","6137.8","3938.9","9.3","5468.4","3642.0","9.2","4778.9","3427.7","9.1","4442.8","3109.1","9.0","4194.9","2970.1","8.9","3607.0","2744.5","8.7","2895.8","2670.2","8.4","2602.6","2498.2","8.1","2496.0","2325.3"
"Djibouti","4.4","81.7","146.7","4.1","72.0","130.6","4.1","66.5","122.0","4.6","71.2","131.5","4.7","67.8","128.2","4.3","55.5","108.0","4.5","54.7","109.4","4.5","53.5","106.2","4.8","50.2","108.8","4.9","47.2","104.6","4.5","41.0","91.1","4.7","40.3","89.6","5.6","46.2","103.0","5.0","40.2","89.7","3.9","31.1","68.6","4.1","32.0","70.3"
"Dominica","5.4","383.7","585.7","5.2","374.7","564.2","5.0","354.5","522.8","5.4","363.1","547.3","4.6","324.2","470.4","5.1","349.9","505.7","5.0","340.3","487.4","4.5","299.7","460.0","4.7","282.1","431.2","4.5","255.1","385.5","4.6","240.7","361.4","4.3","229.9","330.8","4.6","229.2","332.8","4.7","227.8","312.3","4.6","227.3","307.3","4.7","225.4","303.0"
"Dominican Republic","6.2","396.7","873.1","6.1","376.6","799.9","6.0","356.9","728.5","5.9","351.5","689.2","5.6","326.6","642.1","5.6","299.7","608.4","5.1","250.4","512.4","4.7","233.7","474.3","4.2","193.8","406.9","4.2","161.7","372.1","4.6","167.4","361.5","4.4","104.7","310.5","4.3","95.5","293.0","4.4","125.0","303.4","4.3","120.9","277.6","4.2","115.4","263.7"
"Ecuador","8.5","530.1","980.2","8.6","555.9","994.4","8.5","518.4","942.0","8.4","477.8","881.0","7.8","405.6","770.8","7.5","350.2","688.9","6.6","283.0","591.1","6.1","259.8","542.3","5.9","210.6","490.6","5.7","190.6","461.3","5.6","168.6","427.5","5.6","150.3","398.0","5.4","132.4","355.6","4.5","97.4","283.6","3.7","71.2","228.8","3.3","48.1","194.2"
"Egypt","4.2","156.6","495.2","4.1","153.8","491.0","4.6","140.3","476.5","4.9","143.4","460.3","4.6","123.3","450.1","4.4","111.4","421.6","4.6","104.9","426.0","4.7","95.6","419.6","4.7","77.7","389.1","5.1","70.2","392.3","5.2","62.8","368.6","5.1","53.1","343.6","5.5","53.0","352.1","5.8","67.2","359.6","5.7","72.0","345.5","5.2","72.5","303.1"
"El Salvador","6.9","283.2","578.5","6.8","271.1","551.8","6.9","269.5","546.7","6.7","256.6","514.2","6.8","254.3","505.7","6.9","240.2","494.5","6.8","230.0","478.3","6.2","217.9","447.7","6.3","208.7","442.7","6.7","204.5","440.8","7.2","203.8","445.3","7.3","192.0","424.7","7.3","184.2","408.7","7.7","184.8","413.2","7.8","182.9","407.8","8.0","178.8","402.9"
"Equatorial Guinea","2.7","280.0","789.6","1.8","337.3","583.3","1.7","349.4","584.5","1.4","311.4","524.2","1.3","289.3","463.5","1.5","262.5","506.2","1.7","278.9","632.6","1.3","300.0","507.1","1.5","232.3","494.0","1.5","187.1","435.7","0.8","79.8","205.4","1.0","68.1","271.2","1.2","47.7","237.6","1.0","31.5","186.0","2.3","57.8","347.4","2.5","50.8","255.0"
"Eritrea","3.3","30.9","56.2","3.4","27.9","56.6","3.2","24.2","53.2","3.2","22.5","53.5","3.4","19.8","51.2","3.7","17.7","51.0","4.0","17.2","54.7","4.7","15.2","62.0","4.1","13.0","60.2","5.3","15.8","76.5","5.3","14.7","77.0","5.4","15.6","76.4","5.7","13.2","79.2","5.5","11.1","79.7","5.3","11.4","76.1","5.6","11.8","75.1"
"Estonia","6.5","1112.0","1886.8","6.2","1238.5","1774.3","6.0","1146.2","1653.7","5.8","1015.3","1516.3","5.8","1016.3","1429.0","6.3","927.7","1369.7","6.5","963.9","1342.8","5.8","1039.6","1303.6","5.0","833.8","1104.1","4.9","619.8","947.8","5.0","512.3","818.6","5.1","450.7","734.8","4.9","350.5","638.3","4.7","251.2","548.6","4.8","215.4","494.4","5.2","210.4","486.2"
"Eswatini","7.0","232.7","628.9","7.2","252.5","607.6","7.3","264.5","592.9","7.4","284.3","568.0","8.5","330.4","615.1","8.2","313.2","614.3","7.1","209.5","504.8","7.3","200.8","516.5","6.3","185.2","431.3","6.2","178.2","410.7","5.9","165.0","359.3","5.0","132.7","299.5","4.8","102.5","277.8","4.6","60.8","238.4","4.5","65.7","226.6","4.6","75.5","223.5"
"Ethiopia","4.0","24.3","65.6","4.0","22.5","60.5","4.1","20.1","55.9","4.6","20.9","57.3","4.5","15.3","52.4","5.5","16.8","57.9","4.4","14.8","41.8","4.3","13.4","38.0","4.8","11.5","38.8","4.3","8.2","30.6","4.1","6.6","26.8","4.3","5.8","25.0","4.9","5.8","25.0","4.7","5.2","24.8","4.8","5.6","24.9","4.4","5.4","21.4"
"Fiji","3.6","174.9","331.4","3.7","184.7","322.1","3.5","165.1","286.2","3.5","160.8","272.8","3.4","148.2","254.9","3.6","135.2","266.6","3.7","129.1","267.3","3.3","144.1","244.7","3.7","150.9","257.4","3.6","136.0","250.1","3.5","129.1","233.3","3.5","117.6","225.5","3.2","91.3","190.6","3.2","73.0","185.9","3.1","64.2","173.1","3.7","77.0","196.2"
"Finland","9.4","4005.5","3996.4","9.5","4731.9","3938.8","9.5","4711.7","3923.3","9.3","4405.4","3774.1","8.9","4545.2","3640.6","8.9","4097.6","3442.2","8.9","4179.0","3359.6","8.1","4317.2","3231.2","7.8","3778.9","2949.5","8.0","3291.3","2752.2","8.0","3116.7","2558.9","7.8","2932.3","2426.1","7.7","2514.5","2220.9","7.4","1974.8","2102.3","7.0","1740.2","1944.3","6.8","1658.1","1827.6"
"France","11.1","4026.1","4542.3","11.1","4779.2","4478.7","10.9","4679.1","4345.9","10.8","4447.7","4100.0","10.7","4725.4","4039.9","10.7","4385.4","3881.4","10.8","4523.6","3778.0","10.1","4614.3","3571.9","10.0","4168.0","3421.7","10.0","3693.6","3289.4","10.2","3573.6","3135.4","10.1","3452.4","2972.8","10.0","2999.6","2854.7","10.0","2438.2","2876.4","9.7","2190.8","2691.9","9.5","2156.5","2514.1"
"Gabon","2.7","197.9","480.9","2.5","245.5","445.0","2.8","275.0","485.2","2.4","236.6","398.4","2.6","274.1","406.5","2.5","216.7","372.5","3.5","263.4","493.4","2.6","257.6","374.8","2.9","240.8","443.0","2.9","204.2","424.4","2.8","187.4","420.8","3.3","186.0","474.9","3.5","169.6","499.7","3.2","132.4","457.7","3.2","127.7","461.2","2.9","119.4","408.7"
"Gambia","6.7","31.9","114.1","7.0","31.0","115.4","6.1","29.9","101.7","6.1","31.0","98.1","6.2","32.1","95.2","5.7","32.3","93.0","5.8","31.8","89.8","5.9","36.0","88.4","5.7","29.7","81.8","5.5","24.0","75.9","4.9","21.2","67.5","4.4","18.1","60.6","4.2","15.2","55.1","3.8","16.6","46.4","3.7","20.1","48.3","3.6","23.0","44.8"
"Georgia","7.9","280.9","717.7","8.4","348.8","725.8","8.4","334.9","669.3","8.4","323.0","625.8","8.4","290.4","570.3","9.5","262.5","584.3","9.8","247.0","552.5","8.7","255.9","496.8","7.6","177.2","414.9","7.8","136.8","364.6","8.3","118.7","338.9","8.3","94.0","297.0","8.2","71.9","268.1","8.0","59.1","228.6","7.4","50.8","193.6","7.4","47.9","179.3"
"Germany","11.2","4591.8","5356.8","11.1","5293.4","5204.5","11.0","5103.5","4965.4","10.8","4761.3","4707.4","10.7","5030.8","4588.5","11.0","4696.7","4413.0","11.2","4742.3","4213.9","10.2","4730.1","3936.1","10.0","4240.5","3695.5","10.1","3746.2","3521.5","10.3","3614.7","3330.6","10.1","3506.3","3226.5","10.4","3182.6","3143.6","10.1","2580.0","3001.6","9.9","2363.1","2847.2","9.8","2355.5","2708.9"
"Ghana","5.9","79.6","249.3","5.5","76.8","225.4","5.8","104.6","227.2","5.5","89.0","202.0","6.1","95.9","207.4","6.5","85.5","195.4","6.5","70.7","183.1","6.4","78.4","175.1","6.2","67.5","156.0","6.2","57.0","149.1","6.3","51.2","232.6","5.1","35.2","176.4","5.1","30.8","165.9","5.0","25.4","157.6","5.6","24.8","168.7","5.1","21.9","148.6"
"Greece","8.4","1504.8","2204.4","7.9","1715.8","2094.3","8.3","1817.0","2169.8","8.8","1944.8","2210.7","9.1","2354.0","2374.3","9.6","2573.8","2696.9","9.5","2816.1","2881.1","9.4","3007.2","2899.6","9.1","2614.7","2655.9","9.0","2226.6","2561.9","9.0","2032.1","2304.7","7.9","1744.0","2021.8","8.2","1516.5","1959.0","8.2","1163.3","1864.4","8.0","1003.9","1682.5","7.2","885.4","1416.7"
"Grenada","5.0","460.3","677.5","5.3","451.3","667.9","5.6","446.9","654.8","5.8","439.3","651.8","6.1","452.2","684.7","6.1","451.5","671.4","6.0","445.9","658.1","5.7","455.8","667.7","5.7","416.2","644.9","5.8","394.3","608.9","5.3","355.9","558.1","5.1","299.5","466.1","5.2","301.4","465.8","5.8","304.5","461.0","5.4","274.0","410.1","5.1","261.0","390.2"
"Guatemala","5.7","224.4","443.9","6.2","228.8","467.2","6.2","214.8","450.9","6.3","206.7","440.1","6.2","196.8","422.5","6.4","181.1","421.7","6.6","174.4","427.2","6.5","182.3","425.1","6.7","167.0","424.3","6.9","156.4","410.7","6.6","137.7","369.9","6.7","126.2","361.1","6.8","119.4","352.4","6.7","113.5","338.0","6.7","105.4","330.7","5.2","85.8","249.4"
"Guinea","4.5","25.1","57.2","4.3","24.2","55.1","4.7","25.1","59.5","4.6","22.9","57.4","5.1","23.3","61.6","4.4","19.5","52.0","4.3","18.7","49.6","4.3","18.6","50.3","4.6","18.7","51.6","4.3","12.6","47.0","4.5","13.7","48.2","4.6","17.8","47.5","5.0","18.7","50.0","6.0","19.3","58.5","5.2","16.5","48.8","5.0","17.0","44.7"
"Guinea-Bissau","6.9","39.5","100.3","6.3","43.9","100.3","4.7","32.2","76.1","4.8","31.2","74.2","5.4","37.4","80.1","6.2","33.5","84.2","6.6","35.8","67.6","6.8","39.9","89.2","6.8","32.8","86.4","6.4","26.9","78.8","6.3","26.7","74.6","6.9","27.0","77.6","5.7","20.5","62.0","5.2","16.0","54.2","6.1","18.8","67.3","6.3","21.2","76.7"
"Guyana","4.5","184.5","336.1","5.1","207.2","373.2","5.0","196.4","344.4","4.8","183.0","314.8","4.9","169.0","301.3","4.6","140.6","265.6","4.6","124.9","249.2","4.2","107.3","216.5","4.0","93.9","201.4","4.0","77.6","180.7","5.4","58.9","223.8","5.0","52.8","208.2","5.2","51.1","201.0","4.8","46.7","187.1","4.5","42.6","172.5","4.4","41.5","156.7"
"Haiti","6.9","53.6","120.1","7.2","59.0","125.1","7.2","58.2","122.0","10.1","76.7","162.8","10.6","78.4","166.2","10.2","68.5","150.4","8.7","57.3","135.6","7.7","50.6","116.9","6.8","42.4","102.2","5.5","28.5","79.4","5.5","24.7","76.6","5.9","23.5","78.7","5.8","18.2","79.5","6.0","21.8","81.9","6.6","26.6","90.6","6.9","29.6","95.2"
"Honduras","7.6","176.6","353.4","7.7","172.5","347.2","8.2","175.9","355.9","8.4","183.7","355.3","7.6","162.0","309.2","8.2","159.0","320.1","8.5","154.1","320.9","8.1","143.1","318.5","7.8","124.9","293.6","7.5","108.6","265.1","7.2","95.8","238.3","6.7","82.6","206.4","6.8","79.1","195.1","6.2","71.0","172.2","5.9","67.6","159.7","6.3","68.9","165.1"
"Hungary","7.2","893.7","1912.1","7.1","1007.0","1820.1","7.3","990.6","1774.7","7.5","961.1","1722.3","7.6","1063.4","1720.5","7.6","983.1","1620.2","7.3","943.7","1497.2","7.1","1117.2","1467.8","7.3","1003.3","1372.3","7.8","893.2","1428.5","8.0","895.2","1364.6","7.8","798.5","1260.7","8.1","682.9","1253.9","7.1","473.1","1032.8","6.8","359.7","902.9","6.8","313.1","802.1"
"Iceland","8.6","4375.4","4116.2","8.8","4609.4","3894.1","8.7","4157.8","3710.7","8.7","3852.9","3518.6","8.6","3975.2","3410.5","8.8","3671.4","3383.7","9.1","3656.7","3711.1","8.7","4814.4","3697.1","8.7","5964.1","3553.5","8.9","4995.0","3447.6","9.2","5197.9","3415.8","9.6","4475.2","3366.6","10.1","3937.0","3257.3","9.6","3067.3","3086.0","8.9","2538.0","2807.2","9.0","2866.0","2657.4"
"India","3.9","63.3","237.7","3.6","57.2","205.8","3.7","56.2","197.1","3.3","49.1","163.7","3.2","48.7","150.5","3.3","45.3","145.6","3.5","38.4","140.9","3.5","38.0","131.9","3.5","36.0","126.4","3.6","29.7","115.3","3.8","27.8","108.5","4.0","25.1","102.0","4.0","22.1","94.7","4.2","20.3","92.6","4.3","19.9","89.8","4.2","18.6","80.7"
"Indonesia","3.3","111.8","369.3","3.4","120.1","362.6","3.4","122.0","336.4","3.4","124.5","318.0","3.3","121.5","295.4","3.5","107.5","285.3","2.8","63.9","220.7","2.8","60.7","210.2","3.1","57.1","215.9","2.9","45.4","186.4","2.8","34.8","167.6","2.3","26.6","130.5","2.4","26.1","129.9","2.1","19.3","108.1","2.2","16.7","107.6","2.0","15.6","92.3"
"Iran (Islamic Republic of)","7.6","366.0","1261.7","7.1","382.7","1222.6","6.3","413.7","1034.5","6.8","519.3","1135.1","6.7","524.7","1196.0","7.8","440.9","1201.0","7.5","367.6","1088.4","6.1","299.4","863.9","5.8","246.0","811.7","5.8","197.9","760.7","6.0","173.2","718.8","5.8","141.0","651.3","5.7","115.4","594.9","5.3","104.7","504.4","5.8","93.7","509.0","5.2","80.2","454.9"
"Iraq","3.4","154.5","481.0","3.4","186.9","440.0","3.2","194.8","438.9","3.2","178.9","400.7","2.9","163.4","370.2","3.3","145.5","402.5","3.8","163.1","448.6","3.0","129.7","356.3","3.1","97.2","338.8","2.4","56.7","260.2","2.9","53.6","281.1","3.8","53.5","355.1","3.0","28.2","181.7","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Ireland","7.8","4757.1","5334.9","9.9","5516.1","5099.6","10.4","5429.9","5045.8","10.1","4957.5","4687.6","9.9","5229.3","4524.1","10.5","5128.5","4566.8","10.5","5480.8","4382.7","9.1","5616.0","4059.7","7.8","4852.2","3696.4","7.5","4143.4","3374.8","7.6","3936.6","3128.9","7.2","3476.9","2824.5","7.0","2904.4","2560.3","6.7","2190.0","2369.7","6.4","1822.1","2105.7","5.9","1561.0","1793.8"
"Israel","7.4","2756.1","2819.1","7.4","2889.1","2687.3","7.1","2655.4","2499.5","7.1","2383.4","2323.5","7.0","2419.3","2194.4","7.1","2218.4","2087.7","7.1","2022.9","2007.1","7.0","2129.0","1975.3","6.9","1784.6","1971.2","6.9","1581.0","1860.4","7.1","1537.7","1856.6","7.0","1471.5","1866.3","7.1","1417.6","1779.8","7.2","1387.6","1898.5","7.2","1541.6","1894.0","6.8","1496.9","1773.5"
"Italy","9.0","2700.4","3350.6","9.0","3190.1","3274.1","9.0","3195.6","3267.4","9.0","3125.6","3253.5","8.8","3387.6","3211.9","9.0","3214.5","3145.2","9.0","3324.4","3106.2","8.6","3490.0","3040.1","8.2","3088.5","2784.2","8.5","2830.2","2740.6","8.4","2676.5","2516.9","8.2","2561.0","2420.9","7.9","2158.2","2291.7","7.9","1754.3","2263.5","7.8","1585.3","2175.6","7.6","1520.5","2047.8"
"Jamaica","5.9","294.3","511.4","5.5","268.6","469.2","5.8","291.6","483.8","5.3","274.1","429.6","5.5","279.7","444.0","5.4","252.4","421.3","5.2","226.8","414.0","5.5","269.9","452.0","5.1","234.9","416.6","4.4","189.0","345.5","4.1","168.9","308.8","4.8","179.5","348.1","4.6","158.4","318.4","4.9","174.9","322.8","5.3","181.1","344.5","5.8","195.5","365.0"
"Japan","10.9","3732.6","4405.1","10.8","4099.5","4240.3","10.8","4336.1","4179.2","10.8","5212.1","3988.3","10.6","5087.1","3778.2","9.2","4060.2","3192.5","9.1","3685.8","2986.1","8.2","3213.4","2842.5","7.9","2772.5","2713.8","7.8","2754.2","2569.4","7.8","2883.1","2452.8","7.7","2875.7","2318.3","7.6","2642.0","2191.1","7.5","2404.5","2097.0","7.4","2479.6","2013.0","7.2","2740.5","1905.7"
"Jordan","6.3","257.4","568.1","7.4","301.5","673.5","7.3","293.5","666.1","8.0","309.4","729.9","8.3","317.6","768.5","8.1","308.7","778.8","9.5","331.8","896.8","8.8","296.4","816.8","8.3","229.3","742.5","8.1","204.4","677.2","8.9","195.2","694.2","9.0","186.0","653.8","9.1","172.2","607.5","9.7","175.0","618.2","9.9","170.8","599.6","9.6","159.8","552.5"
"Kazakhstan","3.9","379.1","903.3","3.6","459.2","891.0","3.8","491.9","842.0","4.0","464.1","839.0","3.6","393.6","719.9","4.2","363.9","790.0","4.3","295.5","758.4","3.6","305.0","663.3","3.2","211.3","555.2","3.7","192.8","586.6","4.0","150.0","567.1","4.0","111.5","493.0","3.8","75.3","413.8","3.9","58.9","363.5","3.6","51.1","314.5","4.2","50.5","324.4"
"Kenya","5.2","70.1","157.2","5.5","73.0","158.3","5.7","69.9","157.5","5.7","65.3","149.9","5.5","54.8","141.8","6.4","61.9","155.3","5.3","49.0","120.9","4.8","44.3","108.5","5.0","42.2","113.5","4.6","32.4","98.3","5.1","26.3","100.1","5.1","23.2","94.2","5.2","22.6","91.6","5.5","21.8","95.6","5.4","21.7","94.3","5.2","21.2","88.7"
"Kiribati","7.6","108.4","151.8","9.6","161.4","185.9","9.4","161.5","177.5","8.7","153.7","156.3","8.8","148.9","150.1","9.4","139.9","158.9","13.7","177.2","237.4","14.2","201.5","250.6","11.6","156.8","207.3","11.7","135.0","205.0","11.5","139.9","202.7","12.4","140.2","205.4","10.7","108.2","178.0","11.7","96.7","191.1","12.1","89.3","191.4","8.6","68.9","137.5"
"Kuwait","4.0","1168.8","2977.5","3.2","1375.0","2385.9","2.6","1251.4","1982.6","2.6","1319.3","2034.7","2.6","1263.8","2027.8","2.8","1061.4","2032.0","3.9","1454.5","3071.1","1.9","1074.3","1739.8","2.1","976.8","1946.9","2.3","962.6","1990.8","2.4","843.9","1979.3","2.8","742.3","2083.4","3.2","713.2","2182.0","3.6","635.4","2041.4","3.6","596.7","2002.1","2.5","462.6","1393.9"
"Kyrgyzstan","8.2","92.1","286.6","8.3","107.5","281.5","8.2","105.7","266.1","8.5","100.8","250.0","7.2","80.6","209.4","7.1","62.6","194.4","7.0","61.3","193.2","6.6","64.4","178.6","6.9","50.8","172.3","8.3","45.9","187.7","7.5","36.1","159.9","6.2","27.2","130.2","5.8","22.3","111.7","4.6","14.8","81.0","4.3","13.2","74.8","4.4","12.3","72.3"
"Lao People's Democratic Republic","2.8","53.0","165.8","2.6","46.4","140.9","2.7","44.1","128.6","2.3","33.0","104.3","2.2","27.5","89.5","3.2","35.0","119.6","4.0","36.7","139.6","3.0","26.4","99.3","3.5","24.8","109.4","4.1","25.0","121.9","4.8","22.8","125.8","4.9","20.7","119.4","5.0","17.9","111.0","4.2","13.4","88.2","4.8","14.6","89.1","4.7","14.5","82.8"
"Latvia","5.8","783.8","1429.3","7.8","1224.8","1306.9","7.5","1151.0","1218.9","7.6","1068.9","1146.0","7.9","1074.7","1093.9","8.6","972.9","1070.0","8.9","1058.6","1029.1","8.5","1308.0","1086.0","8.9","1155.0","1041.3","8.8","794.2","900.4","8.9","633.0","807.6","9.3","565.3","756.9","8.2","402.7","602.3","8.5","339.7","578.2","8.4","292.9","519.6","7.9","258.8","433.9"
"Lebanon","7.4","645.2","1117.3","7.4","654.9","1140.4","7.5","676.5","1172.1","8.0","713.6","1237.9","8.1","711.6","1278.6","7.5","659.4","1200.2","7.1","593.0","1068.4","7.9","553.7","1094.1","8.6","520.1","1083.3","8.8","470.1","983.6","7.6","407.0","833.0","8.1","438.1","859.0","8.6","456.5","858.2","9.1","494.9","926.7","10.4","544.5","1053.6","10.7","569.1","1059.9"
"Lesotho","8.4","90.9","251.1","8.6","103.0","248.8","7.9","98.4","226.9","7.7","102.5","213.7","7.2","102.6","189.9","6.2","79.7","157.9","8.3","82.8","195.0","7.5","72.1","164.6","7.0","68.2","147.0","5.9","51.7","105.7","5.3","44.2","89.8","5.9","44.3","94.3","6.0","35.7","94.8","5.9","23.8","88.2","6.3","28.2","95.1","5.8","28.5","84.3"
"Liberia","15.2","69.3","127.8","14.1","64.6","119.2","9.2","41.6","76.9","9.3","38.5","72.5","10.5","40.0","77.3","10.0","32.7","68.7","10.6","32.1","71.1","11.0","25.6","56.4","10.3","21.6","50.7","8.1","14.4","36.5","8.5","14.3","36.4","7.9","11.8","31.5","3.5","4.6","13.3","2.9","5.2","16.2","3.7","6.4","19.8","3.8","7.0","21.5"
