Country,2017 Rural,2017 Urban,2017 Total,2016 Rural,2016 Urban,2016 Total,2015 Rural,2015 Urban,2015 Total,2014 Rural,2014 Urban,2014 Total,2013 Rural,2013 Urban,2013 Total,2012 Rural,2012 Urban,2012 Total,2011 Rural,2011 Urban,2011 Total,2010 Rural,2010 Urban,2010 Total,2009 Rural,2009 Urban,2009 Total,2008 Rural,2008 Urban,2008 Total,2007 Rural,2007 Urban,2007 Total,2006 Rural,2006 Urban,2006 Total,2005 Rural,2005 Urban,2005 Total,2004 Rural,2004 Urban,2004 Total,2003 Rural,2003 Urban,2003 Total,2002 Rural,2002 Urban,2002 Total,2001 Rural,2001 Urban,2001 Total,2000 Rural,2000 Urban,2000 Total
Burkina Faso,35,80,48,36,79,48,37,79,49,38,79,49,39,78,49,40,78,50,41,78,50,42,77,51,43,77,51,44,77,52,45,76,52,46,76,53,47,75,53,48,75,54,49,75,54,50,74,55,51,74,55,51,74,55
Burundi,57,90,61,56,89,60,56,89,60,55,88,59,55,88,58,54,88,58,53,87,57,53,87,57,52,86,56,52,86,55,51,85,55,51,85,54,50,84,54,50,84,53,49,83,52,49,83,52,48,83,51,48,82,51
Cabo Verde,76,93,87,74,93,86,73,93,86,72,93,85,72,92,85,72,91,84,71,91,84,71,90,83,71,90,82,71,89,82,71,88,81,71,88,81,71,87,80,71,87,80,71,86,79,71,86,79,70,86,79,70,86,79
Cambodia,73,97,79,71,96,77,70,95,75,68,93,74,67,92,72,65,91,71,64,90,69,62,88,68,61,87,66,59,86,64,58,85,63,56,83,61,55,82,60,53,81,58,52,79,57,50,78,55,49,77,54,47,76,52
Cameroon,39,77,60,39,77,60,39,78,60,39,78,60,39,79,60,39,79,60,39,80,60,39,80,60,39,81,60,39,81,60,39,82,60,39,82,60,39,82,60,39,83,60,38,83,60,38,84,60,38,84,59,38,85,59
Canada,99,100,99,99,100,99,99,100,99,99,100,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,98,99,99,98,99,99,98,99,99,98,99,99,98,99,99,98,99,99,98,99,99,98,99,99,98,99,99
Central African Republic,,,,34,65,46,34,65,46,34,65,46,34,65,46,34,65,46,35,66,47,36,68,48,36,69,49,37,70,50,38,72,51,39,73,52,40,75,53,41,76,54,42,78,55,42,79,56,43,80,57,44,82,58
Chad,29,70,39,30,70,39,30,71,39,30,71,39,30,72,39,30,72,39,30,73,40,30,73,40,31,73,40,31,74,40,31,74,40,31,74,41,31,75,41,31,75,41,31,76,41,32,76,41,32,76,41,32,76,41
Chile,100,100,100,98,100,100,98,100,100,97,100,99,95,100,99,93,100,99,92,100,99,90,100,98,89,100,98,87,100,98,86,99,98,84,99,97,82,99,97,81,99,97,79,99,97,78,99,96,76,99,96,75,99,96
China,86,98,93,85,98,92,84,98,92,83,98,91,82,98,91,81,98,90,80,98,89,79,98,88,78,98,88,77,98,87,76,98,86,75,98,85,74,98,84,73,98,84,72,98,83,71,98,82,70,98,81,70,98,80
